vehicle_id,timestamp,latitude,longitude,speed,battery_level,odometer,engine_hours,fuel_level,location_address,trip_status,rental_id
2,2025-05-01 8:55:00,-6.195091,106.82611,0,92.5,25043,1852.8,73,Grand Indonesia JAKARTA,PARKED,1114
7,2025-05-01 10:11:00,-6.213143,106.84442,68,85.6,38033,2201.6,81,JL Sudirman JAKARTA,MOVING,1116
15,2025-05-01 10:43:00,-6.224828,106.827382,0,84.9,12027,803.4,75,Kuningan City JAKARTA,PARKED,1113
15,2025-05-01 12:28:00,-6.210059,106.848311,0,84.7,12027,803.5,74,JL Sudirman JAKARTA,PARKED,1113
7,2025-05-01 12:28:00,-6.197973,106.822289,65,85.2,38048,2202,77,Setiabudi JAKARTA,MOVING,1116
9,2025-05-01 13:06:00,-6.190779,106.823532,0,92.5,71000,4000.9,95,Plaza Indonesia JAKARTA,PARKED,1117
9,2025-05-01 13:13:00,-6.228906,106.821533,0,92.3,71000,4001,93,Kuningan City JAKARTA,PARKED,1117
2,2025-05-01 13:39:00,-6.223629,106.824649,0,92.3,25043,1852.9,71,Kuningan City JAKARTA,PARKED,1114
9,2025-05-01 14:06:00,-6.231861,106.803338,48,91.9,71005,4001.4,91,Plaza Senayan JAKARTA,MOVING,1117
15,2025-05-01 14:33:00,-6.223757,106.798649,0,84.5,12027,803.6,72,Plaza Senayan JAKARTA,PARKED,1113
4,2025-05-01 14:52:00,-6.20974,106.847035,0,87.8,51047,2952.7,78,JL Sudirman JAKARTA,PARKED,1115
12,2025-05-01 15:10:00,-6.969209,107.635812,76,95.6,31015,1750.2,96,Bandung Indah Plaza BANDUNG,MOVING,1118
15,2025-05-01 15:33:00,-6.206272,106.844952,0,84.3,12027,803.8,70,JL Sudirman JAKARTA,PARKED,1113
9,2025-05-01 15:56:00,-6.230456,106.824538,0,91.7,71005,4001.6,89,Kuningan City JAKARTA,PARKED,1117
4,2025-05-01 16:12:00,-6.19738,106.821506,0,87.6,51047,2953,76,Setiabudi JAKARTA,PARKED,1115
7,2025-05-01 16:47:00,-6.225161,106.809645,58,84.9,38057,2202.4,75,Pacific Place JAKARTA,MOVING,1116
4,2025-05-01 17:18:00,-6.19653,106.826263,0,87.5,51047,2953.2,74,Grand Indonesia JAKARTA,PARKED,1115
4,2025-05-01 18:06:00,-6.22438,106.807597,0,87.3,51047,2953.5,72,Pacific Place JAKARTA,PARKED,1115
12,2025-05-01 18:25:00,-6.925588,107.613689,0,95.5,31015,1750.4,95,JL Asia Afrika BANDUNG,PARKED,1118
2,2025-05-01 19:34:00,-6.192678,106.823112,61,92,25051,1853.1,68,Plaza Indonesia JAKARTA,MOVING,1114
12,2025-05-01 19:35:00,-6.878179,107.582361,0,95.4,31015,1750.6,94,Paris Van Java BANDUNG,PARKED,1118
2,2025-05-01 20:37:00,-6.193059,106.817555,0,91.9,25051,1853.3,67,Grand Indonesia JAKARTA,PARKED,1114
9,2025-05-02 8:01:00,-6.198264,106.820241,0,91.6,71005,4001.8,88,Setiabudi JAKARTA,PARKED,1117
4,2025-05-02 8:09:00,-6.241653,106.802643,0,87.1,51047,2953.8,68,Kebayoran Baru JAKARTA,PARKED,1115
4,2025-05-02 8:52:00,-6.223535,106.803942,0,87.2,51047,2953.7,70,Plaza Senayan JAKARTA,PARKED,1115
13,2025-05-02 9:25:00,-6.224839,106.802526,0,90.7,57000,3200.5,96,Plaza Senayan JAKARTA,PARKED,1119
13,2025-05-02 9:58:00,-6.191893,106.825057,0,90.8,57000,3200.3,98,Setiabudi JAKARTA,PARKED,1119
2,2025-05-02 10:34:00,-6.194635,106.819512,0,91.7,25051,1853.5,66,Grand Indonesia JAKARTA,PARKED,1114
9,2025-05-02 12:19:00,-6.213364,106.849269,0,90.9,71014,4002.4,82,JL Sudirman JAKARTA,PARKED,1117
9,2025-05-02 12:38:00,-6.226646,106.810195,0,91.4,71005,4001.9,87,Pacific Place JAKARTA,PARKED,1117
9,2025-05-02 12:45:00,-6.228059,106.806635,53,91.1,71014,4002.2,84,Pacific Place JAKARTA,MOVING,1117
13,2025-05-02 13:49:00,-6.197291,106.824086,0,90.6,57000,3200.6,95,Plaza Indonesia JAKARTA,PARKED,1119
12,2025-05-02 14:56:00,-6.890132,107.603907,61,95.2,31023,1751.1,89,Cihampelas Walk BANDUNG,MOVING,1118
2,2025-05-02 16:37:00,-6.191144,106.826558,75,91.5,25056,1854,63,Grand Indonesia JAKARTA,MOVING,1114
13,2025-05-02 16:40:00,-6.223884,106.806726,0,90.4,57000,3200.7,93,Pacific Place JAKARTA,PARKED,1119
7,2025-05-02 17:07:00,-6.24218,106.796305,0,84.7,38057,2202.6,74,Kebayoran Baru JAKARTA,PARKED,1116
7,2025-05-02 18:18:00,-6.197294,106.821405,0,84.5,38057,2202.9,72,Grand Indonesia JAKARTA,PARKED,1116
12,2025-05-02 19:53:00,-6.876901,107.574458,60,94.8,31037,1751.4,85,Paris Van Java BANDUNG,MOVING,1118
